,LT_CAGR,WACC,2019_CAGR,Decay,Price,Equity,EV,Rate
372,0.0201,0.0645,0.3594,-1.22,8.62,391.4535479,610.6191651,0.065982944
373,0.0187,0.0699,0.3717,-1.24,7.52,341.2319219,560.3975391,0.066537901
374,0.0175,0.0756,0.3718,-1.53,5.41,245.507706,464.6733231,0.046869757
375,0.0178,0.063,0.5231,-1.35,11.34,514.7771481,733.9427652,0.081405947
376,0.0173,0.0642,0.4215,-0.98,11.86,538.5386184,757.7042356,0.104962335
377,0.0183,0.0766,0.4446,-1.08,9.21,418.0679558,637.233573,0.097212009
378,0.0188,0.0613,0.4815,-1.49,10.05,456.1482959,675.3139131,0.063402145
379,0.0205,0.0718,0.4714,-1.54,7.84,355.9412259,575.1068431,0.058534122
380,0.0223,0.0599,0.4097,-1.1,12.9,585.4407979,804.6064151,0.087396436
381,0.0212,0.075,0.434,-1.22,8.58,389.4292654,608.5948825,0.07950439
382,0.0181,0.0555,0.4251,-1.42,10.64,482.831966,701.9975831,0.060966295
383,0.0218,0.0615,0.4582,-1.43,10.7,485.7931502,704.9587674,0.064859903
384,0.0214,0.064,0.3755,-1.2,9.56,433.9655244,653.1311416,0.070650485
385,0.0197,0.0498,0.4658,-1.25,16.33,741.3044817,960.4700989,0.082123951
386,0.0214,0.0713,0.3739,-1.02,9.35,424.4442113,643.6098284,0.088489058
387,0.0201,0.0717,0.3794,-1,9.35,424.2307552,643.3963723,0.092140215
388,0.0236,0.0802,0.3713,-0.86,9.62,436.813007,655.9786241,0.108460305
389,0.0198,0.0688,0.3997,-1.23,8.57,389.0517309,608.2173481,0.072385729
390,0.0194,0.0794,0.4678,-1.19,8.59,389.6961419,608.8617591,0.088893442
391,0.0205,0.0814,0.4891,-1.32,7.98,362.2164487,581.3820659,0.079039745
392,0.0185,0.0838,0.4182,-1.02,8.09,367.1429653,586.3085825,0.098864083
393,0.0176,0.0703,0.4249,-1.48,7.09,321.9318896,541.0975067,0.056722618
394,0.0216,0.082,0.4654,-0.96,10.78,489.1718947,708.3375119,0.118850211
395,0.0224,0.0724,0.4548,-1.24,9.6,435.942758,655.1083752,0.081213879
396,0.0196,0.0772,0.4564,-1.15,9.01,409.0084191,628.1740363,0.091244871
397,0.0264,0.0661,0.4098,-1.17,11.57,524.9426142,744.1082314,0.079987295
398,0.0196,0.0616,0.5191,-1.09,15.28,693.502033,912.6676502,0.111843047
399,0.0213,0.0693,0.4728,-1.15,11.3,513.1270588,732.292676,0.09448165
400,0.0201,0.0684,0.419,-1.25,9.01,408.9946588,628.160276,0.073974373
401,0.0181,0.0725,0.4834,-1.25,9.34,423.7252212,642.8908383,0.085183527
